Algoritmo,n,TiempoReal,TiempoCPU,TiempoES,CPUWall
MergeSort,600000,0.0910987854,0.0859490000,0.0051530000,100.0035286965
MergeSort,700000,0.0914378166,0.0806980000,0.0107440000,100.0045751094
MergeSort,800000,0.1126861572,0.1073450000,0.0053330000,99.9927611104
MergeSort,900000,0.1294801235,0.1263290000,0.0031400000,99.9914090908
MergeSort,1000000,0.1332769394,0.1209870000,0.0122780000,99.9910416670
MergeSort,1500000,0.2136528492,0.1957740000,0.0159290000,99.0873750550
MergeSort,2000000,0.2922170162,0.2673020000,0.0247470000,99.9425029308
QuickSort,1000,0.0000519753,0.0000190000,0.0000380000,109.6675816514
QuickSort,2000,0.0001089573,0.0000000000,0.0001140000,104.6281522976
QuickSort,3000,0.0002760887,0.0001390000,0.0001390000,100.6922721934
QuickSort,4000,0.0003101826,0.0003140000,0.0000000000,101.2307037663
QuickSort,5000,0.0004980564,0.0005000000,0.0000000000,100.3902345620
QuickSort,8000,0.0006279945,0.0006310000,0.0000000000,100.4785810175
QuickSort,10000,0.0007510185,0.0007530000,0.0000000000,100.2638384762
QuickSort,50000,0.0043609142,0.0041300000,0.0002330000,100.0478287245
QuickSort,100000,0.0090529919,0.0090570000,0.0000000000,100.0442741250
QuickSort,150000,0.0129461288,0.0119880000,0.0009630000,100.0376263425
QuickSort,200000,0.0193150043,0.0193190000,0.0000000000,100.0206867737
QuickSort,300000,0.0246069431,0.0217960000,0.0028140000,100.0124227926
QuickSort,400000,0.0335819721,0.0170860000,0.0165660000,100.2085281875
QuickSort,500000,0.0504200459,0.0482490000,0.0021750000,100.0078424112
QuickSort,600000,0.0632100105,0.0582170000,0.0049880000,99.9920732040
QuickSort,700000,0.0611591339,0.0535870000,0.0075760000,100.0063213597
QuickSort,800000,0.0753939152,0.0717740000,0.0036160000,99.9948070393
QuickSort,900000,0.0853180885,0.0770530000,0.0082670000,100.0022404024
QuickSort,1000000,0.0885770321,0.0746900000,0.0138900000,100.0033506550
QuickSort,1500000,0.1447927952,0.1373200000,0.0074760000,100.0022133827
QuickSort,2000000,0.1857941151,0.1088000000,0.0769920000,99.9988616074
Seleccion,1000,0.0008740425,0.0005860000,0.0002930000,100.5671908347
Seleccion,2000,0.0030300617,0.0025340000,0.0004990000,100.0969709025
Seleccion,3000,0.0072572231,0.0045990000,0.0026480000,99.8591316666
Seleccion,4000,0.0137979984,0.0137120000,0.0000900000,100.0290011024
Seleccion,5000,0.0139319897,0.0139350000,0.0000000000,100.0216073244
Seleccion,8000,0.0399520397,0.0355860000,0.0043690000,100.0074095876
Seleccion,10000,0.0571751595,0.0557550000,0.0014240000,100.0067171577
Seleccion,50000,1.2823529243,1.2695490000,0.0121820000,99.9515013118
Seleccion,100000,5.2132539749,5.2061950000,0.0049580000,99.9596993562
Seleccion,150000,11.5859339237,11.5154220000,0.0663520000,99.9640950505
Seleccion,200000,20.4295258522,20.3378740000,0.0835490000,99.9603375415
Seleccion,300000,46.3405129910,46.2390800000,0.0855590000,99.9657448959
Seleccion,400000,77.9324610233,71.4259700000,6.4497960000,99.9272510805
Seleccion,500000,123.6208930016,123.3868110000,0.1974740000,99.9703868815
Seleccion,600000,177.7774269581,177.6129660000,0.1649410000,100.0002700241
Seleccion,700000,240.7699220181,240.1548020000,0.5693750000,99.9810005263
Seleccion,800000,319.7046589851,319.1008050000,0.5438140000,99.9812201720
Seleccion,900000,398.4118919373,397.5357310000,0.7908660000,99.9785912672
Seleccion,1000000,494.1997768879,493.4444170000,0.6106640000,99.9707211750
Seleccion,1500000,1111.8064599037,1109.9840430000,1.5059710000,99.9715376808
Seleccion,2000000,2134.9820508957,2134.1521770000,0.2830460000,99.9743872369
ShellSort,1000,0.0001158714,0.0000400000,0.0000800000,103.5630617284
ShellSort,2000,0.0003130436,0.0000000000,0.0003150000,100.6249626809
ShellSort,3000,0.0004639626,0.0000000000,0.0004670000,100.6546746146
ShellSort,4000,0.0007829666,0.0007860000,0.0000000000,100.3874221681
ShellSort,5000,0.0013179779,0.0011520000,0.0001690000,100.2292978292
ShellSort,8000,0.0023868084,0.0023560000,0.0000000000,98.7092220957
ShellSort,10000,0.0024368763,0.0024390000,0.0000000000,100.0871485765
ShellSort,50000,0.0198020935,0.0145560000,0.0052480000,100.0096277403
ShellSort,100000,0.0525679588,0.0525710000,0.0000000000,100.0057852127
ShellSort,150000,0.0696837902,0.0696790000,0.0000000000,99.9931257945
ShellSort,200000,0.1062288284,0.0767230000,0.0295090000,100.0029856018
ShellSort,300000,0.1717510223,0.1717470000,0.0000000000,99.9976580408
ShellSort,400000,0.2819261551,0.2818560000,0.0000740000,100.0013638003
ShellSort,500000,0.3337399960,0.3337340000,0.0000000000,99.9982034049
ShellSort,600000,0.3691349030,0.0619650000,0.3071720000,100.0005680974
ShellSort,700000,0.4542191029,0.4541660000,0.0000000000,99.9883089771
ShellSort,800000,0.6067540646,0.5142440000,0.0924680000,99.9930672801
ShellSort,900000,0.5821518898,0.1315270000,0.4506100000,99.9974422825
ShellSort,1000000,0.7712678909,0.7711620000,0.0000000000,99.9862705382
ShellSort,1500000,1.1840817928,1.1806990000,0.0023480000,99.9126079940
ShellSort,2000000,1.9831459522,1.9823990000,0.0000030000,99.9624862596
OrdenamientoABB,1000,0.0010690689,0.0010730000,0.0000000000,100.3677116860
OrdenamientoABB,2000,0.0042159557,0.0042190000,0.0000000000,100.0722082000
OrdenamientoABB,3000,0.0098328590,0.0098250000,0.0000000000,99.9200737113
OrdenamientoABB,4000,0.0185399055,0.0164720000,0.0020610000,99.9627530568
OrdenamientoABB,5000,0.0239500999,0.0239520000,0.0000000000,100.0079333904
OrdenamientoABB,8000,0.0661511421,0.0661440000,0.0000000000,99.9892033302
OrdenamientoABB,10000,0.1055090427,0.1055020000,0.0000000000,99.9933249893
OrdenamientoABB,50000,6.7385840416,2.2461860000,4.4923720000,99.9996135450
OrdenamientoABB,100000,32.6845531464,32.6236520000,0.0530890000,99.9760983535
OrdenamientoABB,150000,76.2528779507,32.6814290000,43.5711380000,99.9995922112
OrdenamientoABB,200000,139.2656159401,81.2391430000,58.0259660000,99.9996359905
OrdenamientoABB,300000,355.8321430683,355.1051460000,0.6441560000,99.9767190598
OrdenamientoABB,400000,709.1275320053,707.3438190000,1.7414320000,99.9940376021
OrdenamientoABB,500000,1224.6512949467,1224.1555870000,0.3285460000,99.9863502413
OrdenamientoABB,600000,1830.7369589806,1827.6047450000,2.4278060000,99.9615232556
OrdenamientoABB,700000,2783.4714300632,2770.2259110000,12.9196820000,99.9882938600
OrdenamientoABB,800000,3896.3966650963,3846.9662560000,47.4141080000,99.9482521604
OrdenamientoABB,900000,5676.2107341290,5672.5148320000,2.4717690000,99.9784339732
